iter	Passed	Remaining
0	136	136456
1	138	69029
2	139	46485
3	141	35182
4	142	28409
5	144	23886
6	145	20693
7	147	18313
8	149	16463
9	152	15141
10	154	13898
11	156	12856
12	157	11974
13	159	11213
14	161	10580
15	163	10050
16	165	9568
17	167	9133
18	168	8718
19	170	8349
20	171	8016
21	175	7793
22	178	7575
23	179	7314
24	181	7072
25	182	6849
26	184	6651
27	186	6473
28	190	6363
29	191	6194
30	193	6035
31	194	5884
32	196	5748
33	198	5644
34	202	5575
35	203	5453
36	205	5338
37	206	5230
38	208	5127
39	210	5050
40	213	4989
41	214	4900
42	216	4812
43	217	4730
44	219	4651
45	221	4594
46	226	4586
47	227	4518
48	229	4457
49	231	4393
50	232	4333
51	235	4295
52	237	4241
53	239	4187
54	240	4131
55	241	4077
56	243	4032
57	247	4012
58	248	3964
59	249	3916
60	251	3870
61	252	3826
62	254	3782
63	257	3759
64	260	3741
65	261	3701
66	263	3663
67	263	3617
68	265	3580
69	266	3544
70	268	3510
71	271	3496
72	272	3463
73	274	3430
74	275	3398
75	277	3367
76	280	3360
77	284	3367
78	286	3338
79	287	3309
80	289	3282
81	291	3258
82	293	3243
83	297	3240
84	298	3210
85	299	3185
86	300	3156
87	302	3132
88	304	3113
89	306	3099
90	309	3089
91	310	3066
92	312	3044
93	313	3023
94	315	3005
95	317	2986
96	319	2973
97	322	2968
98	324	2948
99	325	2929
100	327	2911
101	327	2887
102	329	2870
103	332	2860
104	334	2851
105	335	2833
106	337	2816
107	338	2799
108	340	2783
109	343	2776
110	346	2774
111	347	2758
112	349	2742
113	351	2729
114	352	2713
115	353	2696
116	356	2690
117	359	2688
118	360	2671
119	362	2659
120	364	2645
121	365	2631
122	366	2612
123	368	2606
124	372	2605
125	373	2592
126	375	2579
127	376	2563
128	377	2550
129	379	2538
130	381	2531
131	384	2529
132	386	2518
133	388	2507
134	389	2495
135	391	2484
136	393	2478
137	396	2476
138	397	2464
139	399	2453
140	400	2441
141	402	2431
142	404	2421
143	406	2417
144	408	2407
145	409	2397
146	411	2386
147	412	2376
148	414	2366
149	416	2361
150	420	2363
151	421	2354
152	423	2344
153	424	2333
154	426	2323
155	428	2316
156	430	2311
157	432	2302
158	433	2292
159	435	2283
160	436	2274
161	437	2265
162	440	2262
163	443	2263
164	445	2254
165	446	2245
166	448	2236
167	449	2227
168	452	2224
169	455	2224
170	457	2215
171	458	2207
172	459	2198
173	461	2190
174	463	2183
175	467	2188
176	468	2180
177	470	2172
178	471	2164
179	473	2156
180	474	2145
181	476	2142
182	478	2138
183	480	2130
184	481	2123
185	483	2115
186	484	2108
187	486	2101
188	489	2101
189	492	2101
190	494	2094
191	495	2086
192	497	2079
193	498	2072
194	502	2072
195	505	2072
196	506	2065
197	508	2058
198	509	2050
199	510	2043
200	514	2043
201	516	2040
202	517	2033
203	519	2026
204	520	2020
205	522	2013
206	524	2008
207	526	2005
208	529	2005
209	531	1999
210	532	1992
211	534	1986
212	536	1981
213	538	1979
214	541	1977
215	543	1971
216	544	1965
217	546	1959
218	547	1953
219	549	1947
220	551	1944
221	554	1943
222	555	1937
223	557	1930
224	558	1925
225	560	1919
226	562	1914
227	566	1917
228	567	1911
229	569	1905
230	570	1899
231	572	1893
232	573	1887
233	575	1885
234	579	1886
235	580	1880
236	582	1874
237	583	1869
238	585	1864
239	587	1859
240	589	1857
241	591	1853
242	593	1848
243	594	1843
244	596	1837
245	597	1832
246	600	1829
247	603	1831
248	605	1826
249	606	1820
250	608	1816
251	610	1811
252	613	1810
253	617	1813
254	618	1808
255	621	1805
256	622	1800
257	624	1796
258	626	1792
259	629	1792
260	631	1788
261	633	1783
262	634	1779
263	636	1775
264	639	1773
265	641	1769
266	642	1764
267	643	1758
268	645	1753
269	646	1749
270	649	1746
271	652	1747
272	654	1742
273	655	1737
274	657	1733
275	658	1728
276	660	1723
277	662	1721
278	666	1721
279	667	1716
280	669	1711
281	670	1707
282	671	1702
283	674	1700
284	677	1698
285	678	1694
286	680	1689
287	681	1685
288	683	1681
289	685	1678
290	690	1683
291	692	1679
292	694	1675
293	695	1670
294	697	1665
295	699	1663
296	702	1662
297	703	1658
298	705	1653
299	706	1648
300	708	1644
301	709	1639
302	713	1642
303	715	1637
304	717	1634
305	718	1629
306	720	1625
307	721	1621
308	724	1620
309	728	1620
310	729	1616
311	730	1611
312	732	1607
313	733	1603
314	737	1603
315	740	1603
316	742	1598
317	743	1594
318	744	1589
319	746	1585
320	749	1585
321	752	1584
322	753	1579
323	755	1575
324	756	1571
325	758	1567
326	761	1567
327	764	1566
328	766	1562
329	767	1558
330	768	1554
331	770	1551
332	773	1548
333	776	1548
334	777	1544
335	779	1540
336	780	1536
337	783	1533
338	785	1532
339	788	1531
340	790	1527
341	792	1523
342	793	1519
343	796	1518
344	801	1522
345	803	1519
346	813	1530
347	816	1530
348	818	1527
349	821	1525
350	823	1522
351	827	1523
352	829	1520
353	834	1522
354	836	1519
355	845	1529
356	851	1533
357	854	1532
358	856	1529
359	859	1527
360	863	1529
361	867	1529
362	871	1529
363	874	1527
364	879	1529
365	883	1530
366	885	1528
367	888	1525
368	899	1538
369	902	1536
370	907	1538
371	909	1535
372	911	1532
373	913	1529
374	916	1526
375	917	1523
376	919	1519
377	925	1523
378	931	1526
379	933	1523
380	936	1521
381	941	1523
382	943	1519
383	945	1516
384	948	1515
385	950	1512
386	952	1508
387	954	1505
388	955	1501
389	957	1497
390	959	1494
391	961	1490
392	962	1487
393	964	1483
394	966	1479
395	967	1476
396	969	1472
397	971	1469
398	972	1465
399	974	1462
400	976	1459
401	978	1455
402	980	1452
403	982	1449
404	986	1450
405	988	1446
406	990	1443
407	992	1439
408	993	1436
409	996	1433
410	998	1430
411	1000	1427
412	1001	1423
413	1003	1419
414	1004	1416
415	1006	1412
416	1008	1410
417	1013	1411
418	1015	1408
419	1017	1405
420	1019	1401
421	1020	1398
422	1025	1399
423	1027	1395
424	1028	1391
425	1030	1388
426	1031	1384
427	1033	1381
428	1035	1378
429	1039	1377
430	1042	1376
431	1049	1379
432	1051	1376
433	1053	1373
434	1055	1370
435	1059	1370
436	1061	1367
437	1062	1363
438	1064	1359
439	1065	1356
440	1067	1352
441	1069	1350
442	1071	1346
443	1072	1343
444	1074	1340
445	1081	1343
446	1083	1340
447	1085	1337
448	1087	1334
449	1089	1331
450	1093	1330
451	1095	1327
452	1096	1324
453	1099	1321
454	1100	1318
455	1103	1315
456	1104	1312
457	1108	1312
458	1110	1309
459	1116	1310
460	1118	1307
461	1119	1303
462	1121	1300
463	1126	1300
464	1129	1299
465	1130	1295
466	1132	1292
467	1133	1288
468	1135	1285
469	1138	1283
470	1141	1281
471	1142	1278
472	1144	1274
473	1145	1271
474	1147	1267
475	1149	1265
476	1152	1263
477	1154	1260
478	1155	1256
479	1157	1253
480	1158	1250
481	1161	1248
482	1165	1247
483	1167	1244
484	1168	1240
485	1169	1237
486	1171	1233
487	1173	1231
488	1176	1229
489	1178	1226
490	1179	1222
491	1181	1219
492	1182	1216
493	1184	1212
494	1187	1211
495	1190	1209
496	1192	1206
497	1193	1203
498	1195	1200
499	1199	1199
500	1201	1196
501	1203	1194
502	1205	1190
503	1207	1188
504	1211	1187
505	1214	1185
506	1215	1182
507	1217	1179
508	1219	1176
509	1223	1175
510	1226	1173
511	1228	1170
512	1230	1167
513	1231	1164
514	1233	1161
515	1237	1160
516	1239	1158
517	1241	1155
518	1242	1151
519	1244	1148
520	1246	1145
521	1249	1143
522	1251	1141
523	1252	1138
524	1254	1134
525	1255	1131
526	1257	1128
527	1260	1126
528	1262	1124
529	1264	1121
530	1265	1118
531	1267	1115
532	1269	1112
533	1271	1109
534	1273	1107
535	1276	1104
536	1277	1101
537	1279	1098
538	1281	1095
539	1283	1093
540	1286	1091
541	1288	1089
542	1290	1085
543	1291	1082
544	1293	1079
545	1294	1076
546	1297	1074
547	1300	1072
548	1301	1069
549	1303	1066
550	1305	1063
551	1307	1060
552	1309	1058
553	1311	1056
554	1313	1053
555	1315	1050
556	1316	1047
557	1318	1044
558	1319	1040
559	1323	1039
560	1325	1037
561	1327	1034
562	1329	1031
563	1330	1028
564	1331	1025
565	1335	1023
566	1337	1021
567	1339	1018
568	1340	1015
569	1342	1012
570	1343	1009
571	1345	1006
572	1347	1004
573	1350	1002
574	1352	999
575	1353	996
576	1354	993
577	1356	990
578	1359	988
579	1361	986
580	1364	983
581	1365	980
582	1367	977
583	1368	974
584	1371	972
585	1373	970
586	1375	967
587	1376	964
588	1378	961
589	1379	958
590	1381	955
591	1384	954
592	1387	952
593	1389	949
594	1390	946
595	1392	943
596	1393	940
597	1395	938
598	1397	935
599	1400	933
600	1401	930
601	1403	927
602	1404	924
603	1406	921
604	1410	920
605	1413	918
606	1414	915
607	1416	913
608	1417	910
609	1419	907
610	1423	906
611	1425	903
612	1427	901
613	1428	898
614	1430	895
615	1431	892
616	1435	891
617	1438	889
618	1439	886
619	1441	883
620	1442	880
621	1444	877
622	1448	876
623	1451	874
624	1452	871
625	1454	868
626	1455	865
627	1457	863
628	1460	861
629	1462	859
630	1464	856
631	1465	853
632	1467	850
633	1468	847
634	1470	845
635	1471	842
636	1474	840
637	1476	837
638	1477	834
639	1479	832
640	1480	829
641	1483	827
642	1485	824
643	1487	822
644	1488	819
645	1490	816
646	1491	813
647	1495	812
648	1498	810
649	1499	807
650	1501	804
651	1502	802
652	1504	799
653	1506	797
654	1508	794
655	1510	792
656	1512	789
657	1513	786
658	1515	784
659	1516	781
660	1520	779
661	1522	777
662	1523	774
663	1525	771
664	1527	769
665	1528	766
666	1530	763
667	1532	761
668	1535	759
669	1536	756
670	1538	754
671	1539	751
672	1541	748
673	1544	747
674	1546	744
675	1548	742
676	1549	739
677	1551	736
678	1553	734
679	1554	731
680	1557	729
681	1559	727
682	1561	724
683	1563	722
684	1564	719
685	1566	717
686	1569	714
687	1571	712
688	1573	710
689	1575	707
690	1576	705
691	1578	702
692	1580	700
693	1582	697
694	1584	695
695	1586	692
696	1588	690
697	1591	688
698	1594	686
699	1595	683
700	1597	681
701	1599	679
702	1601	676
703	1603	674
704	1605	671
705	1607	669
706	1609	666
707	1610	664
708	1612	661
709	1613	659
710	1616	657
711	1619	655
712	1621	652
713	1622	650
714	1624	647
715	1625	644
716	1627	642
717	1629	640
718	1632	637
719	1633	635
720	1635	632
721	1636	630
722	1638	627
723	1641	625
724	1643	623
725	1646	621
726	1647	618
727	1649	616
728	1651	613
729	1653	611
730	1655	609
731	1657	606
732	1659	604
733	1661	602
734	1662	599
735	1664	597
736	1667	594
737	1669	592
738	1671	590
739	1672	587
740	1674	585
741	1675	582
742	1678	580
743	1682	578
744	1683	576
745	1685	573
746	1686	571
747	1688	568
748	1689	566
749	1692	564
750	1693	561
751	1696	559
752	1697	556
753	1699	554
754	1700	551
755	1704	550
756	1706	547
757	1708	545
758	1709	542
759	1711	540
760	1712	537
761	1714	535
762	1717	533
763	1718	530
764	1720	528
765	1721	525
766	1723	523
767	1727	521
768	1730	519
769	1731	517
770	1733	514
771	1734	512
772	1736	509
773	1740	508
774	1742	505
775	1744	503
776	1745	500
777	1747	498
778	1748	496
779	1752	494
780	1754	492
781	1756	489
782	1757	487
783	1759	484
784	1760	482
785	1764	480
786	1766	478
787	1767	475
788	1769	473
789	1770	470
790	1772	468
791	1774	465
792	1776	463
793	1778	461
794	1780	459
795	1781	456
796	1783	454
797	1785	451
798	1788	449
799	1790	447
800	1792	445
801	1793	442
802	1795	440
803	1796	438
804	1798	435
805	1801	433
806	1804	431
807	1805	429
808	1807	426
809	1808	424
810	1810	421
811	1812	419
812	1814	417
813	1816	415
814	1818	412
815	1819	410
816	1821	407
817	1822	405
818	1824	403
819	1827	401
820	1828	398
821	1830	396
822	1832	394
823	1833	391
824	1835	389
825	1837	387
826	1839	384
827	1841	382
828	1843	380
829	1844	377
830	1846	375
831	1848	373
832	1850	370
833	1852	368
834	1854	366
835	1855	364
836	1857	361
837	1860	359
838	1862	357
839	1864	355
840	1866	352
841	1868	350
842	1869	348
843	1873	346
844	1876	344
